Frequency (Hz),Input FFT (dBV),Output FFT (dBV),LNA Gain (dB),PSRR (dB)
10.0,-23.97,-50.23,56.52,82.78
20.0,-23.85,-50.70,59.27,86.12
30.0,-23.35,-52.41,59.88,88.94
40.0,-23.81,-54.28,60.11,90.58
50.0,-23.80,-56.10,60.24,92.53
60.0,-23.27,-56.08,60.29,93.11
70.0,-23.25,-57.53,60.32,94.60
80.0,-23.79,-58.69,60.35,95.24
90.0,-23.61,-58.51,60.38,95.29
100.0,-23.79,-59.34,60.38,95.93
200.0,-23.78,-57.98,60.46,94.65
300.0,-23.30,-55.15,60.45,92.30
400.0,-23.77,-53.72,60.46,90.41
500.0,-23.77,-52.07,60.47,88.77
600.0,-23.24,-50.22,60.49,87.47
700.0,-23.22,-48.91,60.47,86.16
800.0,-23.77,-48.34,60.46,85.03
900.0,-23.58,-47.19,60.48,84.08
1000.0,-23.76,-46.50,60.46,83.20
2000.0,-23.76,-40.77,60.46,77.48
3000.0,-23.64,-37.22,60.47,74.06
4000.0,-23.77,-35.31,60.47,72.01
5000.0,-23.36,-33.27,60.48,70.40
6000.0,-23.26,-32.07,60.48,69.29
7000.0,-23.26,-31.07,60.47,68.28
8000.0,-23.82,-30.96,60.45,67.59
9000.0,-23.52,-29.99,60.47,66.94
10000.0,-23.43,-29.47,60.50,66.54
20000.0,-23.48,-27.70,60.51,64.72
30000.0,-23.91,-28.03,60.51,64.64
40000.0,-24.19,-28.25,60.50,64.56
50000.0,-23.91,-28.31,60.52,64.92
60000.0,-23.93,-28.69,60.48,65.24
70000.0,-24.33,-30.40,60.50,66.57
80000.0,-24.68,-30.35,60.50,66.17
90000.0,-24.45,-31.46,60.49,67.50
100000.0,-24.41,-32.51,60.50,68.59
200000.0,-24.89,-40.37,60.52,76.01
300000.0,-24.96,-33.21,60.44,68.69
400000.0,-25.34,-25.85,60.35,60.85
500000.0,-25.76,-22.98,60.17,57.39
600000.0,-26.68,-21.41,59.72,54.46
700000.0,-28.04,-18.85,58.70,49.51
800000.0,-29.39,-16.50,56.89,44.00
900000.0,-30.54,-17.00,54.30,40.77
1000000.0,-31.72,-19.52,51.40,39.19
