Frequency (Hz),Magnitude (dB),Phase (°)
5.0,47.163577383,-157.88549679
5.376197,48.6972917,-167.73090566
5.780698,50.128260874,-177.67935609
6.215634,51.299874482,173.12136329
6.683295,52.384608628,163.81232248
7.186141,53.405274753,154.17396923
7.726822,54.253749469,145.38773187
8.308183,55.038975199,136.46974125
8.933285,55.701486565,128.11515811
9.60542,56.295513464,120.1829657
10.328125,56.810022447,112.4844582
11.105207,57.254092156,105.50459227
11.940755,57.65708975,98.769355953
12.83917,58.026274732,92.221094051
13.805181,58.324613376,86.37130608
14.843874,58.592911524,80.625873424
15.960717,58.822410572,75.400794596
17.161591,59.036168862,70.340034155
18.452818,59.210482612,65.770034486
19.841196,59.372474756,61.175029426
21.334035,59.518519483,57.183944933
22.939194,59.65016354,53.370058441
24.665124,59.752303506,49.781126868
26.520912,59.851598399,46.444325919
28.516328,59.925853274,43.250404132
30.661878,60.007360872,40.247279844
32.968858,60.070718731,37.550505459
35.449413,60.118070873,35.056778078
38.116604,60.180874443,32.617649003
40.984473,60.212092612,30.360660951
44.068118,60.285484722,28.261782052
47.383775,60.262142752,26.332701863
50.948899,60.362230911,24.168315857
54.782261,60.317257637,22.678327974
58.904043,60.399645966,21.022537688
63.335945,60.36438219,19.427111041
68.1013,60.435950569,18.632623216
73.225198,60.448762423,17.338990072
78.734614,60.446764213,15.731912273
84.658555,60.463100935,15.156334686
91.02821,60.453637791,13.904890355
97.877114,60.50536545,12.919526225
105.241324,60.44900069,11.842748141
113.159613,60.474690668,11.007541665
121.673669,60.480006114,10.213680261
130.828317,60.497044943,9.7138407629
140.671754,60.498334027,8.9746298232
151.255806,60.495372908,8.4296855845
162.636194,60.512673282,7.9379890964
174.872836,60.497105449,7.2623310174
188.030155,60.503046789,6.8100792672
202.177421,60.518019549,6.2542280562
217.389119,60.55087957,5.8924845049
233.745336,60.49522187,5.4969049329
251.332183,60.50115372,4.904247974
270.242253,60.526259645,4.6086462098
290.575105,60.544723391,4.399060803
312.437787,60.533414121,4.1701252949
335.945403,60.528353471,4.0005804942
361.221717,60.549180398,3.4137147454
388.399805,60.544454901,3.1775059682
417.622754,60.540775417,2.9984966088
449.044419,60.5233935,2.8446567877
482.830229,60.528353688,2.5463523834
519.158062,60.536148586,2.4976703199
558.219178,60.524165362,2.2558471719
600.219227,60.534966627,2.173333729
645.379332,60.523675193,1.9433420278
693.937253,60.533100645,1.9237632993
746.148642,60.532469264,1.665652122
802.288381,60.533080604,1.5351422328
862.652038,60.54487614,1.4576717587
927.557418,60.526175245,1.2784420338
997.346235,60.539732997,1.2196815063
1072.385919,60.54735601,1.1852411825
1153.071539,60.53711141,1.0343160155
1239.827893,60.525197845,0.94137008674
1333.111739,60.539205003,0.95404105458
1433.414201,60.537330881,0.79303149221
