Frequency (Hz),Magnitude (dB),Phase (°)
5.0,47.412878443,-160.10366407
5.376197,48.882529993,-169.59658211
5.780698,50.269957066,-179.37707508
6.215634,51.404220809,171.37429028
6.683295,52.470931654,162.24228659
7.186141,53.473867044,152.65698588
7.726822,54.308219895,143.98937739
8.308183,55.090041139,135.08273703
8.933285,55.744807776,126.85291104
9.60542,56.299806719,119.12318789
10.328125,56.838373904,111.48126288
11.105207,57.268811768,104.51723323
11.940755,57.648445629,97.93243289
12.83917,58.003323365,91.368841653
13.805181,58.313454387,85.63235965
14.843874,58.566565093,79.992422653
15.960717,58.803008537,74.678912405
17.161591,59.027931296,69.932012224
18.452818,59.187938854,65.194633315
19.841196,59.363738375,60.813693021
21.334035,59.505525919,56.700874425
22.939194,59.626091412,52.930333469
24.665124,59.739624024,49.449220595
26.520912,59.829126789,46.156810318
28.516328,59.903761412,42.823458399
30.661878,59.986596616,40.063898613
32.968858,60.044760172,37.405438964
35.449413,60.104995579,34.860232131
38.116604,60.158809756,32.406590839
40.984473,60.197293165,30.227184369
44.068118,60.247694604,28.070597773
47.383775,60.268732169,26.342275054
50.948899,60.30625618,24.337643658
54.782261,60.317229975,22.705193561
58.904043,60.354655348,21.065354611
63.335945,60.368612343,19.747602571
68.1013,60.376650665,18.385011876
73.225198,60.397896162,17.110994746
78.734614,60.425459004,15.955765749
84.658555,60.445274065,14.915630208
91.02821,60.435055842,13.705193502
97.877114,60.466623802,12.800587456
105.241324,60.479542588,11.899651924
113.159613,60.475488919,11.131623589
121.673669,60.473667676,10.353851392
130.828317,60.479348573,9.8253275575
140.671754,60.443390034,8.9515166502
151.255806,60.484508003,8.3985821725
162.636194,60.498702956,7.9010397325
174.872836,60.505237499,7.2446537452
188.030155,60.511486045,6.7915868857
202.177421,60.523608904,6.1259510748
217.389119,60.518435643,5.8131732707
233.745336,60.508202542,5.3582569942
251.332183,60.499207273,5.0211445717
270.242253,60.519026894,4.6657645228
290.575105,60.513531687,4.4581715953
312.437787,60.543646601,4.009596056
335.945403,60.510443751,3.8193429528
361.221717,60.536462097,3.5839569134
388.399805,60.519297025,3.2034880529
417.622754,60.523065886,3.1570018579
449.044419,60.51007069,2.9538020305
482.830229,60.533168725,2.7105219233
519.158062,60.510996353,2.4764216526
558.219178,60.526250738,2.4034405969
600.219227,60.516509553,2.0850211456
645.379332,60.50336283,1.9334726901
693.937253,60.527853328,1.7360941626
746.148642,60.540258637,1.5985441245
802.288381,60.530785327,1.4980602415
862.652038,60.52563345,1.4323787031
927.557418,60.524353729,1.3010302599
997.346235,60.545732955,1.3520427314
1072.385919,60.513925381,1.1641064157
1153.071539,60.515049223,1.1149112934
1239.827893,60.519141492,1.0093613755
1333.111739,60.519219748,0.8667452436
1433.414201,60.532767026,0.91267642498
1541.263354,60.520621653,0.76363288106
1657.227009,60.531862986,0.62711212116
1781.915693,60.521327288,0.58690150336
1915.985873,60.52972359,0.6426659761
2060.143406,60.537480093,0.64674436429
2215.147258,60.517342459,0.3308528484
2381.8135,60.541520461,0.39745429042
2561.019601,60.542800768,0.36059086401
2753.709054,60.535579148,0.4082023265
2960.896335,60.527866147,0.27648429125
3183.672253,60.513855399,0.4782747529
3423.209687,60.54750272,0.11817999288
3680.769761,60.5303535,0.45274438909
3957.708488,60.582101928,0.0049210038622
4255.483905,60.533678595,0.089398357209
4575.663752,60.571561756,0.28750038827
4919.933722,60.520946062,-0.15305305716
5290.106341,60.570954932,0.091512133226
5688.130508,60.562146657,0.11852497872
6116.101754,60.542027256,-0.12216707158
6576.27328,60.520950678,-0.012056380828
7071.067812,60.536014971,-0.07540312741
7603.090363,60.507411973,-0.083658938497
8175.141946,60.552615752,-0.29254812611
8790.234319,60.501915281,-0.10086488478
9451.605842,60.527040888,-0.30150915366
10162.73853,60.553461053,-0.24354987061
10927.376379,60.537157516,-0.13538051897
11749.545084,60.520335058,-0.32601922844
12633.573228,60.540643736,-0.43949079577
13584.115076,60.55185678,-0.36491215861
14606.175075,60.553916686,-0.84381760712
15705.134205,60.539326388,-0.57144423666
16886.778307,60.524281279,-0.70891060017
18157.328544,60.560007335,-0.86156414112
19523.474155,60.543543499,-0.8577732614
20992.407676,60.51874897,-1.0062161381
22571.862801,60.507198616,-0.91315920032
24270.155104,60.567328109,-1.0440389537
26096.225818,60.505394508,-1.2044577986
28059.688906,60.544707153,-1.3252150006
30170.881683,60.541664041,-1.6490922879
32440.919233,60.535607983,-1.4229111162
34881.752935,60.534782186,-1.5929415704
37506.233381,60.543870145,-1.6731072858
40328.178031,60.525441248,-1.6818655985
43362.443964,60.537071684,-1.8439779701
46625.006097,60.528409638,-2.0551569203
50133.041286,60.562817837,-2.5010690603
53905.018765,60.534353645,-2.3013592977
57960.797381,60.51754074,-2.5898146201
62321.730148,60.524382302,-2.7153083893
67010.776664,60.534415483,-2.7883915544
72052.623996,60.521542045,-3.2199687343
77473.816648,60.522508929,-3.4615238881
83302.896316,60.536473858,-3.6975141929
89570.552153,60.527047103,-3.9632969111
96309.782347,60.50596967,-4.3639322103
103556.06785,60.571961288,-4.8819631034
111347.55916,60.495239427,-4.8759177149
119725.27722,60.496197263,-5.2277168429
128733.32936,60.506682983,-5.5229966996
138419.14148,60.548454286,-6.2760614107
148833.70782,60.532926044,-6.4261505955
160031.85937,60.537542535,-6.9263386186
172072.55258,60.548293017,-7.5862596906
185019.17972,60.525104532,-8.0315596817
198939.90269,60.526150144,-8.6494366332
213908.01181,60.555236262,-9.4139237159
230002.31175,60.527826586,-10.187606979
247307.53637,60.515752989,-11.037020793
265914.79485,60.516479054,-11.831808393
285922.05138,60.547468508,-12.521080017
307434.6409,60.562948021,-13.683156561
330565.82369,60.589425054,-14.625626738
355437.38166,60.52465933,-16.035166956
382180.2595,60.547716253,-16.959088233
410935.25411,60.541495627,-18.441118611
441853.75584,60.543550778,-19.783721139
475098.54558,60.507425448,-21.367482678
510844.65171,60.545802214,-22.995018025
549280.27165,60.492473985,-24.688947641
590607.76269,60.485931798,-26.500365425
635044.70733,60.485668526,-28.69592714
682825.05883,60.472479793,-30.913872021
