# LTPowerAnalyzer Input Noise Density Measurement
# Generated: 2025-10-21 12:04:24
# Sample Frequency: 5.0 MHz
# FFT Averages: 1
# Sample Size: 4194304 points
# FFT Bin Size: 1.19 Hz
# Total Test Frequencies: 201
# Unique Data Points: 198
#
frequency,input_noise_density
9.5367431640625,5.247478816088621e-07
10.728836059570312,4.393064299837583e-07
11.920928955078125,2.3291250658284064e-07
13.113021850585938,2.498882080526932e-07
14.30511474609375,3.608525766215064e-07
15.497207641601562,5.177594620347503e-07
16.689300537109375,4.3500332188952e-07
17.881393432617188,3.31677382324166e-07
19.073486328125,1.3079268765749945e-07
20.265579223632812,3.2325461038700505e-07
21.457672119140625,4.196867692040034e-07
22.649765014648438,4.1073705128880185e-07
23.84185791015625,4.390133459725522e-07
25.033950805664062,4.1923368159097625e-07
26.226043701171875,4.86950551220227e-07
28.6102294921875,6.601547637409338e-07
29.802322387695312,3.676875864323371e-07
32.18650817871094,2.2810579501355013e-07
33.37860107421875,3.928822586215378e-07
35.762786865234375,7.411566110296693e-07
38.14697265625,4.779341020622153e-07
39.33906555175781,2.8947682979948354e-07
41.72325134277344,5.827201440681802e-07
44.10743713378906,4.6227137365103045e-07
47.6837158203125,5.800881265039378e-07
50.067901611328125,2.491641939627031e-07
53.64418029785156,3.822130910903803e-07
56.02836608886719,3.927922578113444e-07
59.604644775390625,5.558536018089161e-07
63.18092346191406,5.124092459500857e-08
66.7572021484375,1.4654630852907724e-07
70.33348083496094,4.170593106679561e-07
75.10185241699219,7.555114659630112e-08
79.87022399902344,5.094548069472456e-08
84.63859558105469,2.7329940563511627e-07
89.40696716308594,6.535579351854009e-07
94.17533874511719,4.737379052871914e-07
100.13580322265625,3.6082486645441205e-07
106.09626770019531,1.9701398890507453e-07
112.05673217773438,3.2873232052178137e-08
119.20928955078125,4.790532779786952e-08
126.36184692382812,2.3093551139994018e-07
133.514404296875,2.6109246388599483e-07
140.66696166992188,1.4864973199841338e-07
150.20370483398438,3.212199474689625e-09
158.54835510253906,1.8623169284030617e-07
168.08509826660156,1.1295700000204098e-08
177.62184143066406,2.3133290083911158e-07
188.35067749023438,2.9356453908697386e-07
199.0795135498047,8.457170541059336e-08
211.0004425048828,1.383923067877722e-07
224.11346435546875,1.4941045865220923e-07
237.2264862060547,1.6212434052803612e-07
251.53160095214844,2.766776607962402e-07
265.8367156982422,2.0498341605784992e-07
281.33392333984375,3.5234672088475685e-07
298.0232238769531,1.1040184410814219e-07
315.9046173095703,1.6577935072106617e-07
334.9781036376953,2.574084868984787e-07
355.2436828613281,5.729171280290321e-08
375.50926208496094,2.137540865933117e-07
398.1590270996094,2.462993495233129e-07
422.0008850097656,8.416598900993154e-08
447.0348358154297,1.8343751086674168e-07
473.26087951660156,1.7327149115567123e-07
500.67901611328125,1.9420047212563923e-07
530.4813385009766,1.3811627247135925e-07
562.6678466796875,1.2856449729372732e-07
596.0464477539062,2.8815779489992936e-07
630.6171417236328,2.2219034479181006e-07
668.7641143798828,2.4469635468043784e-07
708.1031799316406,2.500620883528072e-07
749.8264312744141,1.126845760048749e-07
793.9338684082031,1.5380496281099698e-07
841.6175842285156,5.444965499302094e-08
891.6854858398438,3.0397347533372843e-07
944.1375732421875,1.8394973336776245e-07
1000.1659393310547,1.6964431011458425e-07
1059.7705841064453,1.3687807225071507e-07
1121.7594146728516,8.121340215340159e-08
1188.516616821289,1.1104580228665564e-07
1258.85009765625,8.02180443577592e-08
1333.9519500732422,1.535949357024852e-07
1412.6300811767578,2.3400560818627072e-07
1496.0765838623047,6.629659176931537e-08
1585.4835510253906,1.7969333734981793e-07
1678.466796875,9.39364607933497e-08
1778.6026000976562,1.013163008734415e-07
1883.5067749023438,1.478294100884298e-07
1995.5635070800781,2.0893233366356444e-07
2113.5807037353516,7.991402847827278e-08
2238.750457763672,5.287901277637201e-08
2371.072769165039,3.4791070620599004e-08
2511.739730834961,9.336474954228919e-08
2660.7513427734375,6.640731535496801e-08
2818.1076049804688,2.0335899284357365e-07
2985.0006103515625,6.789687347217572e-08
3162.6224517822266,1.348448820306627e-07
3349.781036376953,4.409311731623881e-08
3547.66845703125,3.82418609101295e-08
3758.668899536133,7.41715810068024e-08
3981.5902709960938,1.51422331079321e-07
4216.432571411133,5.862139287185655e-08
4466.772079467773,4.831245951228319e-08
4731.416702270508,5.289554307326773e-09
5011.558532714844,1.6228926950819857e-07
5308.389663696289,1.5687848074022009e-07
5623.102188110352,5.805847238970445e-08
5956.888198852539,1.1597857002080642e-07
6309.747695922852,1.0417001693669528e-07
6682.872772216797,6.566954379539332e-08
7079.839706420898,7.153198263735015e-08
7499.456405639648,7.261121605092738e-08
7942.914962768555,6.955311133902811e-08
8413.79165649414,5.3893805250910866e-08
8912.086486816406,4.9608355223304335e-08
9440.183639526367,1.062064595187664e-07
10000.467300415039,1.0278850065309458e-07
10592.937469482422,2.434359103121463e-08
11219.978332519531,8.510797546725111e-08
11885.16616821289,7.919796656277559e-08
12589.693069458008,4.169993936731361e-08
13334.75112915039,1.0804378575845903e-08
14125.10871887207,3.821035015843275e-08
14961.957931518555,4.654073077922578e-08
15848.875045776367,2.7763441415481397e-08
16788.244247436523,1.227209766185013e-08
17782.44972229004,1.0000571976663245e-07
18836.259841918945,7.964200736497591e-08
19952.058792114258,9.355580373871263e-08
21134.614944458008,3.8554718291885945e-08
22387.50457763672,6.88667654475562e-08
23714.303970336914,1.5395516379648614e-07
25118.589401245117,4.390892912692729e-08
26607.513427734375,9.131603705017213e-08
28183.460235595703,1.0998479746354137e-07
29853.58238220215,7.016485669739212e-08
31622.648239135742,5.3625337622024174e-08
33496.61827087402,9.786184760195751e-08
35481.45294189453,4.837656313551815e-08
37584.30480957031,4.759974998091898e-08
39811.134338378906,4.2715780792634353e-08
42169.09408569336,1.0279497784810316e-07
44668.91288757324,8.202100881145855e-08
47315.359115600586,1.148021075963181e-07
50119.16160583496,1.2942035472572898e-07
53088.66500854492,4.5012761591776525e-08
56234.59815979004,2.3664318771101372e-08
59566.497802734375,1.6415740955311122e-07
63096.28486633301,1.422050046347232e-07
66834.68818664551,4.8511040839657424e-08
70794.82078552246,5.062284128911868e-08
74989.79568481445,6.362584526088756e-08
79432.72590637207,1.1484543969167426e-07
84139.10865783691,8.317384107186056e-08
89125.6332397461,5.5393421866494115e-08
94406.6047668457,8.991693347468667e-08
99999.90463256836,1.102651308723718e-07
105925.7984161377,2.821468022219421e-08
112202.16751098633,9.961705866159709e-08
118850.4695892334,6.085858125036231e-08
125892.16232299805,3.7500827940763284e-08
133352.27966308594,4.0930282754370237e-08
141253.47137451172,1.8254731634957665e-07
149623.15559387207,5.547817012969052e-08
158488.75045776367,4.387388374982523e-08
167880.05828857422,8.619955335080359e-08
177828.0735015869,1.3145368934518648e-07
188364.98260498047,1.1801825932097394e-07
199526.54838562012,4.7134690835278326e-08
211348.5336303711,5.7268390567097266e-08
223872.66159057617,2.547710449534544e-08
237137.0792388916,7.6783578355224e-08
251188.2781982422,4.5357941272894804e-08
266072.75009155273,8.737728324490955e-08
281838.17863464355,7.457032834575927e-08
298538.2080078125,8.32731590961768e-08
316227.67448425293,8.330570829097235e-08
334964.9906158447,4.9897273418342424e-08
354813.3373260498,8.019589905184727e-08
375837.0876312256,5.890153510578634e-08
398106.57501220703,5.71708875575188e-08
421696.90132141113,7.208807553759804e-08
446683.1684112549,3.549362950741025e-08
473151.20697021484,7.971581560397753e-08
501186.8476867676,8.98744782671756e-08
530884.2658996582,1.9904737331215708e-08
562341.2132263184,4.17508772748994e-08
595662.5938415527,3.1520195454924905e-08
630956.8881988525,2.0947900083286127e-08
668344.4976806641,4.2487344104455507e-08
707945.8236694336,2.5776626595423186e-08
749894.380569458,5.074777129510475e-08
794328.4511566162,4.676481208033743e-08
841394.6628570557,4.636816575598958e-08
891250.3719329834,4.375185467684744e-08
944061.279296875,8.947157844456708e-08
1000000.2384185791,1.5444469166937733e-08
