# LNAmplifier EEPROM Calibration Data
# Generated: 2025-11-05 20:11:05
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
10.000000,56.872883,56.847523,56.807995
10.592537,57.214298,57.193604,57.155857
11.220185,57.52523,57.507046,57.468929
11.885022,57.813492,57.791695,57.759899
12.589254,58.066803,58.047958,58.019547
13.335214,58.313667,58.296337,58.263695
14.125375,58.521,58.506489,58.474461
14.962357,58.718998,58.707546,58.673847
15.848932,58.901718,58.889473,58.854889
16.788040,59.061222,59.052597,59.018467
17.782795,59.211739,59.202354,59.164921
18.836491,59.344929,59.333939,59.299915
19.952623,59.466404,59.457394,59.421379
21.134890,59.579781,59.569633,59.528591
22.387211,59.677547,59.669132,59.634106
23.713737,59.769245,59.762302,59.724068
25.118864,59.849766,59.841324,59.805183
26.607250,59.928024,59.91819,59.882397
28.183828,59.996849,59.984299,59.944855
29.853827,60.057022,60.047241,60.008915
31.622778,60.113346,60.099533,60.063213
33.496544,60.163151,60.152554,60.11734
35.481339,60.20953,60.194439,60.162636
37.583740,60.252281,60.234718,60.206291
39.810719,60.28297,60.272552,60.235943
42.169651,60.315392,60.308784,60.266514
44.668358,60.34845,60.334583,60.302555
47.315125,60.376446,60.365898,60.327175
50.118725,60.399952,60.393764,60.354584
53.088444,60.424366,60.413464,60.374084
56.234135,60.443275,60.428253,60.397587
59.566216,60.460171,60.451748,60.411148
63.095734,60.472858,60.465542,60.427208
66.834389,60.495358,60.483551,60.449165
70.794579,60.507633,60.500389,60.460476
74.989418,60.518276,60.506664,60.471081
79.432823,60.529232,60.516842,60.479313
84.139511,60.540695,60.528847,60.492157
89.125092,60.551598,60.536438,60.503212
94.406090,60.561337,60.546329,60.511204
100.000000,60.570656,60.55394,60.518139
105.925369,60.573063,60.558987,60.524696
112.201843,60.576202,60.568111,60.526119
118.850220,60.583019,60.57851,60.535583
125.892540,60.588467,60.574551,60.540318
133.352142,60.590965,60.581676,60.54829
141.253754,60.601055,60.587189,60.550423
149.623566,60.60276,60.593937,60.550304
158.489319,60.60247,60.590668,60.557163
167.880402,60.606136,60.593616,60.558636
177.827942,60.612118,60.601624,60.55864
188.364914,60.614643,60.600872,60.565418
