# LNAmplifier EEPROM Calibration Data
# Generated: 2025-12-20 11:51:34
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB,Filter4_Gain_dB,Filter5_Gain_dB,Filter6_Gain_dB,Filter7_Gain_dB,Filter8_Gain_dB
5.000000,47.487717,47.533344,47.529602,47.468826,27.147274,27.092268,27.059101,27.053661
5.376197,48.953194,48.978443,49.001274,48.950069,28.611872,28.576487,28.552185,28.546822
5.780698,50.29916,50.326225,50.329025,50.313808,29.965654,29.941767,29.921003,29.918432
6.215634,51.429741,51.470703,51.458778,51.454174,31.105017,31.087231,31.07193,31.069313
6.683295,52.47728,52.479069,52.493046,52.482769,32.139786,32.125336,32.114594,32.115082
7.186141,53.460476,53.481079,53.459621,53.456959,33.128277,33.119125,33.106361,33.109886
7.726822,54.25526,54.282501,54.270473,54.268593,33.939102,33.933475,33.924644,33.926643
8.308183,55.032185,55.023163,55.031281,55.021065,34.696301,34.692062,34.686321,34.688251
8.933285,55.677204,55.68005,55.6735,55.6903,35.35017,35.348969,35.33987,35.344723
9.605420,56.249722,56.243355,56.241524,56.255768,35.91618,35.914013,35.909473,35.912914
10.328125,56.756306,56.769726,56.759472,56.769146,36.428757,36.426624,36.42345,36.428467
11.105207,57.202663,57.213276,57.199116,57.206646,36.867916,36.868313,36.863384,36.86813
11.940755,57.595871,57.591007,57.591202,57.60878,37.260784,37.260006,37.256302,37.261139
12.839170,57.944733,57.957546,57.945816,57.942982,37.610157,37.609901,37.606186,37.611393
13.805181,58.242062,58.254227,58.245464,58.250191,37.906647,37.908287,37.903286,37.909176
14.843874,58.529942,58.515251,58.528496,58.518967,38.179153,38.178825,38.173695,38.179474
15.960717,58.766277,58.767731,58.754738,58.781174,38.414822,38.418194,38.412468,38.417183
17.161591,58.995556,58.962852,58.971691,58.979557,38.623329,38.622112,38.617229,38.622337
18.452818,59.157619,59.158752,59.143539,59.164173,38.808937,38.808086,38.803993,38.809441
19.841196,59.313705,59.322109,59.312649,59.323299,38.972195,38.97184,38.967892,38.972126
21.334036,59.465324,59.461369,59.456493,59.461582,39.115467,39.118164,39.11261,39.115868
22.939194,59.599197,59.579685,59.579773,59.587013,39.243973,39.243118,39.238647,39.243694
24.665125,59.703053,59.722603,59.699814,59.714111,39.351292,39.352184,39.349087,39.352562
26.520912,59.803768,59.814743,59.816307,59.796379,39.449963,39.45211,39.445389,39.45013
