Frequency (Hz),Magnitude (dB),Phase (°)
10.0,56.615344166,112.86425503
10.292005,56.824074023,109.88113046
10.592537,56.997838049,107.36621998
10.901845,57.177149874,104.67104453
11.220185,57.345210539,102.10437455
11.54782,57.514395542,99.403869198
11.885022,57.661848956,97.084622404
12.232071,57.808346374,94.649716535
12.589254,57.944870762,92.318043469
12.956867,58.08640804,89.873263616
13.335214,58.219625938,87.559908042
13.72461,58.337951026,85.373150875
14.125375,58.452605583,83.277539147
14.537844,58.564733972,81.116988812
14.962357,58.668658301,79.049645059
15.399265,58.772982414,76.926672554
15.848932,58.869182518,74.911184532
16.311729,58.959898398,73.037722076
16.78804,59.05279667,71.064453861
17.27826,59.13200205,69.20956161
17.782794,59.211309449,67.450426348
18.302061,59.285547287,65.679738233
18.836491,59.360351756,63.997208038
19.386526,59.426617581,62.253263268
19.952623,59.490617969,60.640458036
20.53525,59.556268722,59.014964608
21.13489,59.614074886,57.45300433
21.75204,59.668687826,55.887522028
22.387211,59.723868751,54.425005123
23.04093,59.779264511,52.94043752
23.713737,59.822948741,51.541704557
24.406191,59.865942026,50.136868333
25.118864,59.911690994,48.82523782
25.852348,59.95183009,47.506420191
26.607251,59.994506044,46.215893827
27.384196,60.030773791,44.972301669
28.183829,60.067406463,43.737938349
29.006812,60.101023332,42.527047393
29.853826,60.129022885,41.386126307
30.725574,60.16260871,40.273464414
31.622777,60.18814423,39.199983347
32.546178,60.21832498,38.097123497
33.496544,60.241653081,37.064377999
34.474661,60.266911484,36.039708076
35.481339,60.294584436,35.063253883
36.517413,60.315004692,34.090639712
37.58374,60.334826754,33.189649617
38.681205,60.35502679,32.234341248
39.810717,60.375609356,31.356356976
40.973211,60.391747802,30.506308317
42.16965,60.4070569,29.68804948
43.401026,60.424574111,28.848360508
44.668359,60.441282067,28.066900405
45.972699,60.454896588,27.274529657
47.315126,60.469330518,26.514851465
48.696753,60.479412096,25.785678851
50.118723,60.494633063,25.067386739
51.582217,60.508491032,24.377906967
53.088444,60.516357843,23.698713644
54.638655,60.526043009,23.056532839
56.234133,60.541239975,22.415489713
57.876199,60.548658861,21.796036012
59.566214,60.555004806,21.157230625
61.305579,60.564688362,20.589887107
63.095734,60.577973985,20.019740336
64.938163,60.580739646,19.43687269
66.834392,60.587723749,18.918436736
68.785991,60.592775649,18.389018536
70.794578,60.600390367,17.869989882
72.861817,60.608057014,17.381094885
74.989421,60.6117187,16.891592474
77.179152,60.61944569,16.430709588
79.432823,60.626852299,15.962836124
81.752304,60.630818342,15.515510237
84.139514,60.63607074,15.07686214
86.596432,60.635389285,14.639394861
89.125094,60.643551708,14.263247801
91.727594,60.650924292,13.840131029
94.406088,60.649878511,13.440950276
97.162795,60.652396463,13.067555047
100.0,60.657073447,12.680242663
102.920053,60.659480314,12.353568621
105.925373,60.668941432,12.032625779
109.018449,60.669922516,11.67800395
112.201845,60.672286525,11.371638761
115.478198,60.67321836,11.003859486
118.850223,60.674373332,10.72982897
122.320712,60.674819642,10.394995514
125.892541,60.681955098,10.143928794
129.56867,60.683397074,9.8193142032
133.352143,60.680530673,9.5529175178
137.246096,60.686892694,9.283141398
141.253754,60.692937289,9.0006118604
145.378439,60.693023287,8.7757097718
149.623566,60.693830466,8.5116576041
153.992653,60.695694766,8.2593263072
158.489319,60.699348195,8.0410394837
163.117291,60.699528259,7.785028508
167.880402,60.700186109,7.590967067
172.782598,60.705163796,7.3482829575
177.827941,60.700078214,7.1702344286
183.020611,60.708341985,6.9725040168
188.364909,60.705832708,6.7720435465
193.865264,60.708994301,6.5350469892
199.526231,60.707454436,6.3895427928
205.352503,60.70833705,6.167631776
211.348904,60.708349544,6.0026867338
217.520403,60.710725515,5.8536641176
223.872114,60.715112862,5.6609423574
230.409298,60.710286296,5.5433137801
237.137371,60.714889168,5.3472303466
244.061907,60.713820451,5.2121946911
251.188643,60.715920692,5.0397493006
258.523484,60.716644279,4.9136785602
266.072506,60.718235511,4.744460933
273.841963,60.716685244,4.6438693199
281.838293,60.71573047,4.4819455912
290.06812,60.720571737,4.359362456
298.538262,60.716638148,4.2398673013
307.255737,60.717757224,4.089690902
316.227766,60.71765192,3.973074385
325.461783,60.720978281,3.8933762812
334.965439,60.723256407,3.7602222593
344.746607,60.719729064,3.6258155487
354.813389,60.722465439,3.5256321641
365.174127,60.719784482,3.456462337
375.837404,60.721682089,3.316372312
386.812055,60.723068699,3.214612223
398.107171,60.721070149,3.10703932
409.73211,60.721057545,3.016689566
421.696503,60.723225698,2.9301132657
434.010264,60.72720988,2.8581390904
446.683592,60.723693381,2.761496494
459.726989,60.725912976,2.6860674714
473.151259,60.723638832,2.5977918804
486.967525,60.720336779,2.5129591801
501.187234,60.724504935,2.4389648299
515.822165,60.720502089,2.3613803635
530.884444,60.723462571,2.2883019551
546.38655,60.726683315,2.1906486346
562.341325,60.721496324,2.1256569687
578.761988,60.728079569,2.0288907476
595.662144,60.726975343,2.0124588852
613.055792,60.724482512,1.9070964836
630.957344,60.726821838,1.8420362953
649.381632,60.724961892,1.8149065206
668.343918,60.727386491,1.6968522135
687.859912,60.726502482,1.7112892018
707.945784,60.728613849,1.5920958222
728.618175,60.724702812,1.5509753879
749.894209,60.726500634,1.4844760093
771.791516,60.729858623,1.4134988718
794.328235,60.730527461,1.3869405424
817.523038,60.721873451,1.3065818725
841.395142,60.725435512,1.3125626952
865.964323,60.731785554,1.2686266688
891.250938,60.730748509,1.2126013774
917.275935,60.729227262,1.1004281416
944.060876,60.729720443,1.1162930046
971.627952,60.729506642,0.97448029356
1000.0,60.72821547,0.99221833663
1029.200527,60.728230597,0.93295896025
1059.253725,60.733881614,0.94221637196
1090.184492,60.732132426,0.8465247858
1122.018454,60.735012265,0.85120202698
1154.781985,60.731750746,0.73718908351
1188.502227,60.729173709,0.71658286121
1223.207119,60.729979022,0.66353637939
1258.925412,60.729116611,0.67605502927
1295.686698,60.734728986,0.64379831657
1333.521432,60.728333677,0.59233376407
1372.460961,60.734250328,0.44462447994
1412.537545,60.724047544,0.49379861756
1453.784386,60.732610191,0.44566511595
1496.235656,60.729639188,0.41393143642
1539.926526,60.726671972,0.36551792228
1584.893192,60.725779631,0.30260200584
1631.172909,60.731282736,0.33790184568
1678.804018,60.720279442,0.25967340541
1727.825981,60.732604049,0.23654389265
1778.27941,60.736631076,0.11382592962
1830.206106,60.732020269,0.20123849216
1883.649089,60.725560664,0.085808314332
1938.652636,60.739005776,0.024652740045
1995.262315,60.731553225,1.0869695057e-05
2053.525026,60.733676817,-0.0081750103834
2113.48904,60.733125134,-0.025849289081
2175.204034,60.737126481,-0.050014011516
2238.721139,60.733563069,-0.17405459734
2304.092976,60.733366365,-0.099735741598
2371.373706,60.733786123,-0.2782789178
2440.619068,60.733242363,-0.32554599371
2511.886432,60.725155154,-0.29146694905
2585.23484,60.73133168,-0.42405290445
2660.72506,60.721478163,-0.38992070628
2738.419634,60.720489645,-0.41166107403
2818.382931,60.726461822,-0.48556737878
2900.681199,60.733359235,-0.46674096677
2985.382619,60.724358963,-0.58500916377
3072.557365,60.725730055,-0.55028263737
3162.27766,60.734207559,-0.64202737575
3254.617835,60.729496039,-0.67573229425
3349.654392,60.721634791,-0.7291054471
3447.466066,60.730450959,-0.78216605563
3548.133892,60.731833672,-0.70663703755
3651.741273,60.705576427,-0.82537018998
3758.374043,60.711006754,-0.90062392523
3868.120546,60.717813274,-0.95727119353
3981.071706,60.715271767,-1.023111363
4097.321098,60.728452201,-0.99967036841
4216.965034,60.723026206,-1.0166696895
4340.102636,60.716066729,-1.0071591863
4466.835922,60.707019962,-1.2406238114
4597.269885,60.724939794,-1.2894049257
4731.51259,60.705695843,-1.2256442899
4869.675252,60.699645112,-1.2580430524
5011.872336,60.706373301,-1.404963536
5158.221651,60.69618862,-1.4765238465
5308.844442,60.714497226,-1.3566626515
5463.865499,60.7132459,-1.5703749261
5623.413252,60.701089183,-1.5726106454
5787.619883,60.71677845,-1.5169747237
5956.621435,60.712493156,-1.6232873368
6130.557921,60.7182364,-1.7433372318
6309.573445,60.705534465,-1.9089044702
6493.816316,60.701616458,-1.6994165147
6683.439176,60.722212011,-1.8693479478
6878.599123,60.694173325,-2.1124416517
7079.457844,60.705972481,-1.932267382
7286.181745,60.708005726,-2.1778868513
7498.942093,60.701631501,-2.034759042
7717.915156,60.692343718,-2.1580150065
7943.282347,60.702394972,-2.2527051034
8175.230379,60.705438224,-2.1932906795
8413.951416,60.708911321,-2.4663937114
8659.643234,60.695003047,-2.479680272
8912.509381,60.6806502,-2.4731346143
9172.759354,60.692398159,-2.6761624732
9440.608763,60.689372513,-2.6197869289
9716.279516,60.68263041,-2.6708670531
10000.0,60.688368942,-2.8709097112
10292.005272,60.70270114,-2.9537930901
10592.537252,60.704729211,-3.0629464913
10901.844924,60.681179311,-2.9767921198
11220.184543,60.677580027,-3.1752143072
11547.819847,60.696455811,-3.2825277928
11885.022274,60.682772657,-3.3371833193
12232.07119,60.689214988,-3.3816817273
12589.254118,60.69530378,-3.4144472198
12956.866975,60.693248235,-3.6509342128
13335.214322,60.694186226,-3.695550872
13724.60961,60.683335293,-3.8371207226
14125.375446,60.703979411,-4.0141388891
14537.843856,60.679777912,-4.0386417548
14962.356561,60.693615148,-4.2413507808
15399.265261,60.686736507,-4.3432580041
15848.931925,60.693309649,-4.4100968171
16311.729092,60.696468074,-4.6659056504
16788.040181,60.671891789,-4.6814244566
17278.259805,60.685776561,-4.7293630311
17782.7941,60.694112647,-4.9724110694
18302.061063,60.691688202,-5.1114626576
18836.490895,60.696211132,-5.0589569757
19386.52636,60.68410705,-5.4514661072
19952.62315,60.671160361,-5.5890740383
20535.250265,60.678412959,-5.7869918281
21134.890398,60.689083576,-6.0346903615
21752.04034,60.669806039,-5.8141080282
22387.211386,60.717815944,-6.2616854743
23040.929761,60.680699484,-6.2854572017
23713.737057,60.714580642,-6.370354485
24406.19068,60.712290167,-6.6640064531
25118.864315,60.677028922,-6.9098012225
25852.348396,60.722761705,-6.9292412829
26607.250598,60.704788893,-7.2946584678
27384.196343,60.690581758,-7.6427806793
28183.829313,60.70178431,-7.8750003378
29006.811987,60.719738284,-8.1058400482
29853.826189,60.672076917,-8.3076927475
30725.573653,60.710292764,-8.3865758215
31622.776602,60.697365165,-8.767324347
32546.17835,60.708059551,-8.8572598845
33496.543916,60.702823809,-9.2708290339
34474.660657,60.705783943,-9.4259457434
35481.338923,60.728612959,-9.8427520463
36517.412725,60.667392134,-10.022185107
37583.740429,60.693050207,-10.353397634
38681.205463,60.699257014,-10.919138033
39810.717055,60.715152696,-11.125777257
40973.210981,60.719712604,-11.564846497
42169.650343,60.680019302,-11.516264248
43401.026364,60.712224591,-11.941629661
44668.359215,60.673300115,-12.244125351
45972.698853,60.741619416,-12.78660615
47315.125896,60.715049339,-13.153980381
48696.752517,60.682401188,-13.655696346
50118.723363,60.717564202,-13.922474766
51582.216507,60.668206972,-14.424253133
53088.444423,60.670132698,-14.828508133
54638.654988,60.652618621,-15.361867781
56234.132519,60.669876835,-15.5089629
57876.198835,60.703516547,-16.241456638
59566.214353,60.704685044,-16.571294902
61305.579215,60.715328268,-17.182835542
63095.734448,60.695160724,-17.787126061
64938.163158,60.658264438,-18.191350923
66834.391757,60.712281751,-18.666868845
68785.991231,60.707627859,-19.058712747
70794.578438,60.692268504,-19.841977741
72861.817451,60.677419758,-20.425929871
74989.420933,60.6988895,-20.886750804
77179.151559,60.685808039,-21.624672489
79432.823472,60.672842807,-22.117573256
81752.303794,60.681695618,-22.800222089
84139.514165,60.716256025,-23.454121336
86596.432336,60.678571303,-23.980965189
89125.093813,60.691178435,-25.06107632
91727.593539,60.676647646,-25.947633475
94406.087629,60.652741418,-26.363692863
97162.795158,60.679125867,-27.160797537
100000.0,60.686005576,-28.143363524
102920.05272,60.667179854,-28.919898446
105925.37252,60.635933043,-29.567092875
109018.44924,60.686641797,-30.427205061
112201.84543,60.665832402,-31.339889514
115478.19847,60.675024075,-32.176159808
118850.22274,60.695074717,-33.328994638
122320.71191,60.68230407,-34.207081008
125892.54118,60.691759305,-35.319024685
129568.66975,60.667758075,-36.32874664
133352.14322,60.694853921,-37.394787233
137246.0961,60.683945612,-38.416131798
141253.75446,60.704355428,-39.576406535
145378.43856,60.646202083,-40.570993983
149623.56561,60.664283047,-41.786223495
153992.65261,60.642193899,-43.332614839
158489.31925,60.648511801,-44.429580533
163117.29092,60.676180494,-45.775399321
167880.40181,60.639163771,-47.064869261
172782.59805,60.654196976,-48.425865324
177827.941,60.673424279,-49.995466204
183020.61063,60.648591469,-51.551333719
188364.90895,60.655474367,-53.133425677
193865.2636,60.716977939,-54.267635848
199526.2315,60.654288589,-56.136145731
205352.50265,60.649978822,-57.87442355
211348.90398,60.624593502,-59.497015513
217520.4034,60.627508974,-61.364061506
223872.11386,60.621138368,-63.009583405
230409.29761,60.627659652,-65.391700198
237137.37057,60.600919606,-67.211162099
244061.9068,60.630342777,-69.315626393
251188.64315,60.605741644,-71.211881924
258523.48396,60.601673389,-73.245418464
266072.50598,60.552771736,-75.717101066
273841.96343,60.5801644,-77.558234896
281838.29313,60.560486207,-80.271840489
290068.11987,60.548137947,-82.59536112
298538.26189,60.514547351,-85.164133827
307255.73653,60.534580012,-87.711382861
316227.76602,60.51458035,-90.260474234
325461.7835,60.51249684,-93.211639169
334965.43916,60.492376692,-95.802891543
344746.60657,60.460136611,-99.312263805
354813.38923,60.441932602,-102.0632199
365174.12726,60.421099115,-105.36139564
375837.40429,60.438496094,-108.76396619
386812.05463,60.390949023,-111.94843117
398107.17055,60.355849953,-115.83113823
409732.10981,60.342382551,-119.31492758
421696.50343,60.268103697,-123.15914861
434010.26365,60.243602405,-126.86197094
446683.59215,60.217079727,-131.1301524
459726.98853,60.155779123,-135.30988617
473151.25896,60.121809454,-140.06126859
486967.52517,60.073333598,-144.52209577
501187.23363,59.993926265,-149.47989087
515822.16507,59.900297014,-154.50229396
530884.44423,59.78927742,-159.9994911
546386.54988,59.736680076,-165.41648726
562341.32519,59.581116253,-171.14651115
578761.98835,59.411442168,-177.16903787
595662.14353,59.167171812,176.78149434
613055.79215,59.016846876,170.33974356
630957.34448,58.761578224,163.71496517
649381.63158,58.43346413,156.4675764
668343.91757,58.1003799,149.45226086
687859.91231,57.681832646,142.07368164
707945.78438,57.248126033,134.87528697
728618.17451,56.735463096,127.29415391
749894.20933,56.137777882,119.57651108
771791.51559,55.571788012,111.97951807
794328.23472,54.847430964,104.5873763
817523.03794,54.110157604,96.841046439
841395.14165,53.316018115,89.57673929
865964.32336,52.441642748,82.333362573
891250.93813,51.566090845,75.34861191
917275.93539,50.649628585,68.456800868
944060.87629,49.678030729,61.520805273
971627.95158,48.70793927,55.092020423
1000000.0,47.689420896,48.717418651
