I1 (A),V1 (V),P1 (W),I2 (A),V2 (V),P2 (W),Efficiency (%),Ploss (W)
3.68E-02,12.003,0.442,1.00E-03,1.197,0.001,0.27,0.44
3.68E-02,12.002,0.442,1.50E-03,1.197,0.002,0.41,0.44
3.69E-02,12.002,0.443,2.00E-03,1.197,0.002,0.54,0.44
3.69E-02,12.003,0.443,2.50E-03,1.197,0.003,0.67,0.44
3.70E-02,12.003,0.444,3.00E-03,1.196,0.004,0.81,0.44
3.70E-02,12.002,0.445,3.50E-03,1.196,0.004,0.94,0.44
3.71E-02,12.002,0.445,4.00E-03,1.196,0.005,1.08,0.44
3.71E-02,12.003,0.446,4.50E-03,1.197,0.005,1.21,0.44
3.72E-02,12.002,0.446,5.00E-03,1.196,0.006,1.34,0.44
3.72E-02,12.004,0.447,5.50E-03,1.196,0.007,1.47,0.44
3.73E-02,12.003,0.447,6.00E-03,1.196,0.007,1.6,0.44
3.73E-02,12.002,0.448,6.50E-03,1.196,0.008,1.73,0.44
3.74E-02,12.002,0.449,7.00E-03,1.196,0.008,1.87,0.44
3.74E-02,12.001,0.449,7.50E-03,1.197,0.009,2,0.44
3.75E-02,12.004,0.45,8.00E-03,1.196,0.01,2.13,0.44
3.75E-02,12.002,0.45,8.50E-03,1.196,0.01,2.26,0.44
3.76E-02,12.004,0.451,9.00E-03,1.197,0.011,2.39,0.44
3.76E-02,12.003,0.451,9.50E-03,1.197,0.011,2.52,0.44
3.77E-02,12.003,0.452,1.00E-02,1.197,0.012,2.65,0.44
3.82E-02,12.001,0.458,1.50E-02,1.197,0.018,3.92,0.44
3.86E-02,12.002,0.464,2.00E-02,1.197,0.024,5.16,0.44
3.91E-02,12.002,0.469,2.50E-02,1.197,0.03,6.38,0.439
3.96E-02,12.003,0.475,3.00E-02,1.196,0.036,7.55,0.439
4.01E-02,12.003,0.481,3.50E-02,1.196,0.042,8.7,0.439
4.06E-02,12.003,0.487,4.00E-02,1.196,0.048,9.83,0.439
4.10E-02,12.001,0.493,4.50E-02,1.197,0.054,10.93,0.439
4.15E-02,12.003,0.498,5.00E-02,1.197,0.06,12,0.439
4.20E-02,12.002,0.504,5.50E-02,1.196,0.066,13.04,0.438
4.25E-02,12.001,0.51,6.00E-02,1.196,0.072,14.07,0.438
4.30E-02,12.003,0.516,6.50E-02,1.196,0.078,15.07,0.438
4.35E-02,12.002,0.522,7.00E-02,1.197,0.084,16.05,0.438
4.40E-02,12.003,0.528,7.50E-02,1.197,0.09,17.02,0.438
4.44E-02,12.002,0.533,8.00E-02,1.196,0.096,17.95,0.438
4.49E-02,12.003,0.539,8.50E-02,1.197,0.102,18.86,0.438
4.54E-02,12.002,0.545,9.00E-02,1.196,0.108,19.74,0.437
4.59E-02,12.002,0.551,9.50E-02,1.197,0.114,20.64,0.437
4.64E-02,12.002,0.556,1.00E-01,1.197,0.12,21.51,0.437
